n-999999999998,  zeta 
1183, -1.358923
1184, 1.082995
1185, -2.121900
1186, 1.246621
1187, -2.255818
1188, 7.473053
1189, 2.610018
1190, 0.199649
1191, -0.342981
1192, 0.527441
1193, -0.017679
1194, 1.671620
1195, -0.690676
1196, -0.005734
1197, 0.856238
1198, 5.172303
1199, -0.391052
1200, -0.715779
1201, 1.173244
1202, 0.888878
1203, 1.917502
1204, 18.369133
1205, -38.041054
1206, -6.386066
1207, 2.807816
1208, -3.886128
1209, -0.243072
1210, 0.403496
1211, 0.233890
1212, 0.566984
1213, -0.167329
1214, 6.098244
1215, 0.490476
1216, 0.626377
1217, -0.609325
1218, 3.250539
1219, -0.658036
1220, 0.196952
1221, -0.269045
1222, 0.977015
1223, -1.103910
1224, 0.488915
1225, -0.921676
1226, 0.240645
1227, 0.300588
1228, 0.766504
1229, 8.061955
1230, 21.413473
1231, -3.535901
1232, 2.096707
1233, -2.122772
1234, 0.236280
1235, -2.501893
1236, 1.351795
1237, -3.231983
1238, 1.916070
1239, -1.795259
1240, 2.270351
1241, -4.270924
1242, 5.904574
1243, -1.145685
1244, 0.287022
1245, -0.005060
1246, 3.383988
1247, -9.568038
1248, -0.335949
1249, -0.993884
1250, 4.625724
1251, -0.638829
1252, -0.000248
1253, -0.406895
1254, 2.131668
1255, -1.085557
1256, 1.472539
1257, 0.017790
1258, 0.322811
1259, 0.115834
1260, 1.690491
1261, -1.569568
1262, 3.258307
1263, 0.031876
1264, 0.140228
1265, -0.019436
1266, -3.963680
1267, -5.572405
1268, 0.111267
1269, -2.148386
1270, 3.821861
1271, 1.722000
1272, 11.294580
1273, -6.287017
1274, 1.250726
1275, -5.324070
1276, 18.967260
1277, 3.784251
1278, 3.385029
1279, -1.505628
1280, -0.666000
1281, -2.966289
1282, -0.164476
1283, 0.478157
1284, -0.601154
1285, -0.005751
1286, 0.213293
1287, -0.132261
1288, -0.746186
1289, -0.106684
1290, 4.468030
1291, -1.861369
1292, 1.715568
1293, -3.658452
1294, 1.704940
1295, -3.072698
1296, 4.214661
1297, -0.214700
1298, 0.247861
1299, -1.017246
1300, 3.099054
1301, -0.470312
1302, 0.142605
1303, -0.133832
1304, 1.260485
1305, -0.956192
1306, 0.575273
1307, 2.494817
1308, 8.570134
1309, -17.188703
1310, 0.991796
1311, -1.244103
1312, 2.009281
1313, -1.634860
1314, 2.189774
1315, -0.807265
1316, 0.961729
1317, -4.481341
1318, 3.126968
1319, -10.625070
1320, 0.147820
1321, 0.652657
1322, -1.039907
1323, 0.125746
1324, 1.052605
1325, -0.473178
1326, 0.640262
1327, -1.141078
1328, 0.085063
1329, -0.973813
1330, 1.977124
1331, -0.331158
1332, 0.308297
1333, -1.904798
1334, 0.010252
1335, 1.166223
1336, -0.869832
1337, -1.693877
1338, -5.327009
1339, -10.014983
1340, 9.574090
1341, -11.968183
1342, -0.049098
1343, -3.060359
1344, 3.320841
1345, -3.482431
1346, 11.794639
1347, 3.774941
1348, -0.519773
1349, -0.571022
1350, 0.916227
1351, -0.158103
1352, 1.998407
1353, -0.830389
1354, 8.301369
1355, 0.431374
1356, 0.040442
1357, -1.009787
1358, 1.536258
1359, -0.348859
1360, 1.741396
1361, -2.945052
1362, 3.538508
1363, 0.521365
1364, 0.150623
1365, -1.096514
1366, 1.654264
1367, -2.158676
1368, 0.139565
1369, -1.496382
1370, 7.390199
1371, -1.196859
1372, -0.399128
1373, -0.098619
1374, 1.374873
1375, -0.073607
1376, -1.151965
1377, 0.382593
1378, -1.438662
1379, -0.306198
1380, 11.869009
1381, -6.965214
1382, 6.163793
1383, -6.773544
1384, 26.968762
1385, 7.070566
1386, -5.906958
1387, 0.655477
1388, -0.097663
1389, -0.514323
1390, 1.159151
1391, -2.008548
1392, 0.150401
1393, -0.266517
